generation,local_x,local_y,local_best,result,best_x,best_y,global_best
1,3.2150537634409,1.3006105006105,0.99110188336968,0.99110188336968,3.2150537634409,1.3006105006105,0.99110188336968
2,3.2218963831867,1.160927960928,0.98222015754473,0.98222015754473,3.2150537634409,1.3006105006105,0.99110188336968
3,3.2111436950147,0.98412698412698,0.99894201012007,0.99894201012007,3.2111436950147,0.98412698412698,0.99894201012007
4,3.9403714565005,1.1355311355311,0.99184731161946,0.99184731161946,3.2111436950147,0.98412698412698,0.99894201012007
5,3.9491691104594,1.1277167277167,0.99822776659994,0.99822776659994,3.2111436950147,0.98412698412698,0.99894201012007
6,3.9442815249267,1.1365079365079,0.99863332121652,0.99863332121652,3.2111436950147,0.98412698412698,0.99894201012007
7,3.5728250244379,0.8004884004884,0.99719575503847,0.99719575503847,3.2111436950147,0.98412698412698,0.99894201012007
8,3.5669599217986,0.80732600732601,0.98383537390292,0.98383537390292,3.2111436950147,0.98412698412698,0.99894201012007
9,3.5650048875855,0.80732600732601,0.9760408924642,0.9760408924642,3.2111436950147,0.98412698412698,0.99894201012007
10,3.5728250244379,0.80830280830281,0.99742978159543,0.99742978159543,3.2111436950147,0.98412698412698,0.99894201012007
11,3.5757575757576,0.81123321123321,0.99865660078392,0.99865660078392,3.2111436950147,0.98412698412698,0.99894201012007
12,3.574780058651,0.79169719169719,0.99808224555571,0.99808224555571,3.2111436950147,0.98412698412698,0.99894201012007
13,3.5767350928641,0.79267399267399,0.9976193719702,0.9976193719702,3.2111436950147,0.98412698412698,0.99894201012007
14,3.58357771261,1.3514041514042,0.96933430261076,0.96933430261076,3.2111436950147,0.98412698412698,0.99894201012007
15,3.5786901270772,1.3514041514042,0.98204076980678,0.98204076980678,3.2111436950147,0.98412698412698,0.99894201012007
16,3.9579667644184,1.0456654456654,0.97273193060252,0.97273193060252,3.2111436950147,0.98412698412698,0.99894201012007
17,3.9491691104594,1.3748473748474,0.97875061776618,0.97875061776618,3.2111436950147,0.98412698412698,0.99894201012007
18,3.9462365591398,0.66471306471306,0.98734916771005,0.98734916771005,3.2111436950147,0.98412698412698,0.99894201012007
19,3.9481915933529,1.3074481074481,0.99045658346307,0.99045658346307,3.2111436950147,0.98412698412698,0.99894201012007
20,3.9442815249267,1.3084249084249,0.98993162126048,0.98993162126048,3.2111436950147,0.98412698412698,0.99894201012007
21,3.9462365591398,1.2859584859585,0.99330012176281,0.99330012176281,3.2111436950147,0.98412698412698,0.99894201012007
22,3.5689149560117,0.68327228327228,0.98132520344478,0.98132520344478,3.2111436950147,0.98412698412698,0.99894201012007
23,3.5689149560117,0.91965811965812,0.99134692821989,0.99134692821989,3.2111436950147,0.98412698412698,0.99894201012007
24,3.2150537634409,0.9050061050061,0.99918658928284,0.99918658928284,3.2150537634409,0.9050061050061,0.99918658928284
25,3.5728250244379,0.81221001221001,0.99753655754496,0.99753655754496,3.2150537634409,0.9050061050061,0.99918658928284
26,3.208211143695,0.82393162393162,0.99308876131078,0.99308876131078,3.2150537634409,0.9050061050061,0.99918658928284
27,3.2111436950147,0.78095238095238,0.99663981476771,0.99663981476771,3.2150537634409,0.9050061050061,0.99918658928284
28,3.2150537634409,0.58754578754579,0.97032772262963,0.97032772262963,3.2150537634409,0.9050061050061,0.99918658928284
29,3.2130987292278,0.58852258852259,0.97132540606619,0.97132540606619,3.2150537634409,0.9050061050061,0.99918658928284
30,3.208211143695,0.76141636141636,0.99080963438338,0.99080963438338,3.2150537634409,0.9050061050061,0.99918658928284
31,3.2140762463343,1.2595848595849,0.9953114272543,0.9953114272543,3.2150537634409,0.9050061050061,0.99918658928284
32,3.2150537634409,0.81221001221001,0.9980243931396,0.9980243931396,3.2150537634409,0.9050061050061,0.99918658928284
33,3.5738025415445,1.0153846153846,0.99958273231635,0.99958273231635,3.5738025415445,1.0153846153846,0.99958273231635
34,3.5738025415445,1.0153846153846,0.99958273231635,0.99958273231635,3.5738025415445,1.0153846153846,0.99958273231635
35,3.5786901270772,1.0310134310134,0.99728835968607,0.99728835968607,3.5738025415445,1.0153846153846,0.99958273231635
36,3.2140762463343,1.1814407814408,0.99876829479728,0.99876829479728,3.5738025415445,1.0153846153846,0.99958273231635
37,3.5738025415445,0.82979242979243,0.99874349168999,0.99874349168999,3.5738025415445,1.0153846153846,0.99958273231635
38,3.941348973607,1.2654456654457,0.98951323361155,0.98951323361155,3.5738025415445,1.0153846153846,0.99958273231635
39,3.941348973607,1.2615384615385,0.98979915889267,0.98979915889267,3.5738025415445,1.0153846153846,0.99958273231635
40,3.9491691104594,1.2634920634921,0.99367357711237,0.99367357711237,3.5738025415445,1.0153846153846,0.99958273231635
41,3.5816226783969,1.1404151404151,0.99050927895128,0.99050927895128,3.5738025415445,1.0153846153846,0.99958273231635
42,3.5806451612903,1.1824175824176,0.99233493178834,0.99233493178834,3.5738025415445,1.0153846153846,0.99958273231635
43,3.217008797654,0.83858363858364,0.99609392580851,0.99609392580851,3.5738025415445,1.0153846153846,0.99958273231635
44,3.9433040078201,0.91672771672772,0.99782961939842,0.99782961939842,3.5738025415445,1.0153846153846,0.99958273231635
45,3.9393939393939,0.94700854700855,0.98949087257843,0.98949087257843,3.5738025415445,1.0153846153846,0.99958273231635
46,3.5738025415445,1.1023199023199,0.99947318078751,0.99947318078751,3.5738025415445,1.0153846153846,0.99958273231635
47,3.574780058651,1.0925518925519,0.99989156902345,0.99989156902345,3.574780058651,1.0925518925519,0.99989156902345
48,3.9423264907136,1.1833943833944,0.99524514178972,0.99524514178972,3.574780058651,1.0925518925519,0.99989156902345
49,3.5757575757576,0.9958485958486,0.99992630408789,0.99992630408789,3.5757575757576,0.9958485958486,0.99992630408789
50,3.2140762463343,0.84346764346764,0.99925170449082,0.99925170449082,3.5757575757576,0.9958485958486,0.99992630408789
51,3.2160312805474,0.82002442002442,0.99719196696003,0.99719196696003,3.5757575757576,0.9958485958486,0.99992630408789
52,3.2189638318671,1.2156288156288,0.99035760765014,0.99035760765014,3.5757575757576,0.9958485958486,0.99992630408789
53,3.2091886608016,0.87472527472527,0.99587454307737,0.99587454307737,3.5757575757576,0.9958485958486,0.99992630408789
54,3.2160312805474,1.2117216117216,0.99623178346554,0.99623178346554,3.5757575757576,0.9958485958486,0.99992630408789
55,3.208211143695,0.85323565323565,0.99358580399835,0.99358580399835,3.5757575757576,0.9958485958486,0.99992630408789
56,3.2091886608016,1.1199023199023,0.99591415142054,0.99591415142054,3.5757575757576,0.9958485958486,0.99992630408789
57,3.9472140762463,0.71159951159951,0.99297124503087,0.99297124503087,3.5757575757576,0.9958485958486,0.99992630408789
58,3.217008797654,1.0818070818071,0.9967280132308,0.9967280132308,3.5757575757576,0.9958485958486,0.99992630408789
59,3.2150537634409,1.0788766788767,0.99922931153134,0.99922931153134,3.5757575757576,0.9958485958486,0.99992630408789
60,3.2111436950147,0.87374847374847,0.99868800760145,0.99868800760145,3.5757575757576,0.9958485958486,0.99992630408789
61,3.2091886608016,0.82295482295482,0.99513832838595,0.99513832838595,3.5757575757576,0.9958485958486,0.99992630408789
62,3.9481915933529,1.0095238095238,0.9993914258566,0.9993914258566,3.5757575757576,0.9958485958486,0.99992630408789
63,3.9521016617791,1.0632478632479,0.99339905934463,0.99339905934463,3.5757575757576,0.9958485958486,0.99992630408789
64,3.2111436950147,1.3250305250305,0.98778124091639,0.98778124091639,3.5757575757576,0.9958485958486,0.99992630408789
65,3.9481915933529,0.77509157509158,0.99683271330218,0.99683271330218,3.5757575757576,0.9958485958486,0.99992630408789
66,3.9481915933529,0.77509157509158,0.99683271330218,0.99683271330218,3.5757575757576,0.9958485958486,0.99992630408789
67,3.2013685239492,0.82686202686203,0.9666037151577,0.9666037151577,3.5757575757576,0.9958485958486,0.99992630408789
68,3.5777126099707,1.0095238095238,0.99858763044726,0.99858763044726,3.5757575757576,0.9958485958486,0.99992630408789
69,3.9452590420332,0.93333333333333,0.99966407519665,0.99966407519665,3.5757575757576,0.9958485958486,0.99992630408789
70,3.9442815249267,0.91672771672772,0.9989324785591,0.9989324785591,3.5757575757576,0.9958485958486,0.99992630408789
71,3.2140762463343,0.85518925518926,0.99941232378287,0.99941232378287,3.5757575757576,0.9958485958486,0.99992630408789
72,3.5728250244379,1.1199023199023,0.99857349771901,0.99857349771901,3.5757575757576,0.9958485958486,0.99992630408789
73,3.9648093841642,1.0554334554335,0.93186698994113,0.93186698994113,3.5757575757576,0.9958485958486,0.99992630408789
74,3.5767350928641,1.0026862026862,0.99946700247677,0.99946700247677,3.5757575757576,0.9958485958486,0.99992630408789
75,3.5738025415445,1.0075702075702,0.99958278505258,0.99958278505258,3.5757575757576,0.9958485958486,0.99992630408789
76,3.5610948191593,1.037851037851,0.95711307204735,0.95711307204735,3.5757575757576,0.9958485958486,0.99992630408789
77,3.9433040078201,1.0368742368742,0.9978758547332,0.9978758547332,3.5757575757576,0.9958485958486,0.99992630408789
78,3.9452590420332,1.1032967032967,0.99956997492485,0.99956997492485,3.5757575757576,0.9958485958486,0.99992630408789
79,3.9481915933529,1.2654456654457,0.99442662500992,0.99442662500992,3.5757575757576,0.9958485958486,0.99992630408789
80,3.9462365591398,0.71159951159951,0.99306876927029,0.99306876927029,3.5757575757576,0.9958485958486,0.99992630408789
81,3.950146627566,0.81514041514042,0.99602973168778,0.99602973168778,3.5757575757576,0.9958485958486,0.99992630408789
82,3.5757575757576,1.2136752136752,0.99784173388399,0.99784173388399,3.5757575757576,0.9958485958486,0.99992630408789
83,3.574780058651,1.0788766788767,0.9999262354165,0.9999262354165,3.5757575757576,0.9958485958486,0.99992630408789
84,3.5767350928641,1.0730158730159,0.99943857958029,0.99943857958029,3.5757575757576,0.9958485958486,0.99992630408789
85,3.5777126099707,1.0739926739927,0.99855766397122,0.99855766397122,3.5757575757576,0.9958485958486,0.99992630408789
86,3.5777126099707,1.0710622710623,0.99856213772594,0.99856213772594,3.5757575757576,0.9958485958486,0.99992630408789
87,3.5738025415445,1.0730158730159,0.99955436538825,0.99955436538825,3.5757575757576,0.9958485958486,0.99992630408789
88,3.574780058651,1.1179487179487,0.99977140189446,0.99977140189446,3.5757575757576,0.9958485958486,0.99992630408789
89,3.5767350928641,1.1521367521368,0.99893128412987,0.99893128412987,3.5757575757576,0.9958485958486,0.99992630408789
90,3.5777126099707,1.1599511599512,0.99793307850333,0.99793307850333,3.5757575757576,0.9958485958486,0.99992630408789
91,3.574780058651,1.180463980464,0.99890431719965,0.99890431719965,3.5757575757576,0.9958485958486,0.99992630408789
92,3.2091886608016,0.87374847374847,0.99586677108089,0.99586677108089,3.5757575757576,0.9958485958486,0.99992630408789
93,3.574780058651,1.1257631257631,0.99971478549399,0.99971478549399,3.5757575757576,0.9958485958486,0.99992630408789
94,3.5757575757576,1.1130647130647,0.99976288320579,0.99976288320579,3.5757575757576,0.9958485958486,0.99992630408789
95,3.9423264907136,1.180463980464,0.99531572844435,0.99531572844435,3.5757575757576,0.9958485958486,0.99992630408789
96,3.5757575757576,0.93724053724054,0.99991079063204,0.99991079063204,3.5757575757576,0.9958485958486,0.99992630408789
97,3.9433040078201,0.92551892551893,0.99784692955804,0.99784692955804,3.5757575757576,0.9958485958486,0.99992630408789
98,3.9452590420332,0.94114774114774,0.99967183183866,0.99967183183866,3.5757575757576,0.9958485958486,0.99992630408789
99,3.5757575757576,0.80830280830281,0.99857590260224,0.99857590260224,3.5757575757576,0.9958485958486,0.99992630408789
100,3.692082111437,0.91086691086691,0.025393565460842,0.025393565460842,3.5757575757576,0.9958485958486,0.99992630408789
